chr11	78416522	78416544	DigenomeSeq-HEK4-off-target-41	0.53	+	chr11	78416522	78416544	HEK239T-site4-Detect-off-target-99	61	+
chr19	1295071	1295093	DigenomeSeq-HEK4-off-target-42	0.52	+	.	-1	-1	.	-1	.
chr2	161426506	161426528	DigenomeSeq-HEK4-off-target-43	0.51	+	.	-1	-1	.	-1	.
chr20	24395404	24395426	DigenomeSeq-HEK4-off-target-44	0.47	+	.	-1	-1	.	-1	.
chr16	979961	979983	DigenomeSeq-HEK4-off-target-45	0.42	+	.	-1	-1	.	-1	.
chr19	47000134	47000155	DigenomeSeq-HEK4-off-target-46	0.39	+	.	-1	-1	.	-1	.
chr2	230602659	230602681	DigenomeSeq-HEK4-off-target-47	0.39	-	.	-1	-1	.	-1	.
chr10	13650620	13650642	DigenomeSeq-HEK4-off-target-48	0.38	+	.	-1	-1	.	-1	.
chr1	32006042	32006064	DigenomeSeq-HEK4-off-target-49	0.34	+	.	-1	-1	.	-1	.
chr17	8731600	8731621	DigenomeSeq-HEK4-off-target-50	0.33	+	.	-1	-1	.	-1	.
chr6	82678882	82678903	DigenomeSeq-HEK4-off-target-51	0.3	-	.	-1	-1	.	-1	.
chr10	27411547	27411568	DigenomeSeq-HEK4-off-target-52	0.29	+	.	-1	-1	.	-1	.
chr1	148377627	148377648	DigenomeSeq-HEK4-off-target-53	0.27	+	chr1	148377627	148377649	HEK239T-site4-Detect-off-target-62	50	+
chr16	49743779	49743801	DigenomeSeq-HEK4-off-target-54	0.22	-	.	-1	-1	.	-1	.
chr19	38125540	38125562	DigenomeSeq-HEK4-off-target-55	0.19	-	chr19	38125540	38125562	HEK239T-site4-Detect-off-target-21	88	-
chr10	125063913	125063935	DigenomeSeq-HEK4-off-target-56	0.18	-	.	-1	-1	.	-1	.
chr16	28255641	28255663	DigenomeSeq-HEK4-off-target-57	0.17	-	chr16	28255641	28255663	HEK239T-site4-Detect-off-target-50	79	-
chr2	149029690	149029711	DigenomeSeq-HEK4-off-target-58	0.15	-	.	-1	-1	.	-1	.
chr20	38842694	38842716	DigenomeSeq-HEK4-off-target-59	0.15	-	.	-1	-1	.	-1	.
chr12	53059756	53059778	DigenomeSeq-HEK4-off-target-60	0.13	+	.	-1	-1	.	-1	.
chr15	30209119	30209140	DigenomeSeq-HEK4-off-target-61	0.13	+	.	-1	-1	.	-1	.
chr5	139904456	139904478	DigenomeSeq-HEK4-off-target-62	0.12	-	.	-1	-1	.	-1	.
chr8	118214890	118214912	DigenomeSeq-HEK4-off-target-63	0.12	+	.	-1	-1	.	-1	.
chr14	95294906	95294928	DigenomeSeq-HEK4-off-target-64	0.11	-	.	-1	-1	.	-1	.
chr3	23610022	23610044	DigenomeSeq-HEK4-off-target-65	0.11	+	.	-1	-1	.	-1	.
chr12	9134803	9134825	DigenomeSeq-HEK4-off-target-66	0.1	+	.	-1	-1	.	-1	.
